Seed,RIPA_Distance,RIPA_Time,RIPA_Route,EA_Distance,EA_Time,EA_Route
246145257,21436.6,0.01,"[38, 12, 41, 25, 7, 9, 23, 15, 28, 40, 35, 36, 21, 10, 26, 27, 44, 4, 18, 16, 30, 24, 33, 43, 39, 45, 17, 47, 32, 5, 31, 0, 2, 46, 34, 37, 19, 6, 1, 14, 42, 13, 8, 20, 48, 49, 29, 11, 22, 3]",19662.81,24.85,"[14, 18, 41, 29, 28, 6, 43, 7, 16, 12, 9, 23, 35, 1, 17, 8, 2, 45, 10, 3, 22, 44, 4, 34, 46, 40, 19, 36, 42, 24, 5, 39, 13, 27, 26, 20, 33, 25, 47, 30, 21, 11, 49, 15, 48, 38, 0, 31, 37, 32]"
2968479192,20580.91,0.01,"[15, 9, 48, 26, 20, 8, 27, 11, 3, 32, 47, 23, 17, 13, 5, 22, 37, 6, 25, 28, 30, 0, 1, 36, 10, 45, 16, 31, 44, 29, 4, 40, 49, 21, 41, 19, 38, 35, 12, 14, 42, 46, 39, 24, 33, 18, 2, 43, 34, 7]",19585.18,24.67,"[42, 36, 4, 11, 5, 21, 38, 39, 37, 30, 19, 23, 49, 17, 28, 40, 10, 9, 27, 25, 2, 18, 29, 46, 31, 15, 7, 32, 43, 34, 48, 3, 41, 20, 45, 12, 35, 1, 6, 13, 44, 14, 8, 0, 47, 22, 16, 33, 24, 26]"
3110877271,19880.17,0.01,"[12, 48, 7, 1, 30, 15, 18, 6, 37, 21, 3, 28, 22, 41, 26, 2, 19, 49, 25, 9, 13, 29, 5, 27, 11, 10, 34, 38, 36, 23, 42, 14, 4, 32, 44, 43, 47, 0, 31, 16, 39, 8, 45, 35, 24, 20, 46, 40, 17, 33]",20244.6,24.71,"[34, 7, 2, 31, 25, 4, 29, 14, 39, 21, 30, 46, 40, 15, 22, 18, 49, 23, 26, 28, 9, 3, 8, 19, 42, 6, 44, 10, 45, 17, 11, 12, 38, 43, 16, 33, 0, 41, 35, 48, 13, 32, 20, 27, 24, 47, 36, 5, 1, 37]"
3074688358,21402.8,0.01,"[3, 30, 43, 22, 38, 37, 16, 42, 8, 35, 7, 45, 23, 28, 17, 49, 11, 47, 9, 36, 32, 12, 21, 24, 46, 44, 15, 10, 39, 5, 29, 20, 33, 13, 31, 40, 27, 14, 18, 6, 4, 41, 1, 0, 2, 25, 26, 19, 34, 48]",20905.42,24.99,"[4, 14, 44, 25, 5, 16, 21, 24, 17, 32, 2, 23, 49, 1, 28, 46, 30, 45, 12, 3, 15, 38, 9, 10, 31, 13, 48, 22, 18, 8, 11, 34, 47, 40, 35, 43, 29, 6, 0, 33, 7, 27, 42, 19, 39, 37, 20, 41, 36, 26]"
3071800665,21037.09,0.02,"[4, 47, 7, 21, 45, 27, 28, 19, 34, 16, 33, 36, 35, 5, 12, 1, 11, 24, 43, 9, 32, 42, 31, 3, 25, 46, 2, 49, 26, 37, 23, 15, 14, 41, 6, 38, 39, 18, 40, 10, 30, 48, 20, 22, 17, 0, 29, 13, 8, 44]",19732.5,25.27,"[49, 37, 38, 31, 9, 26, 42, 23, 10, 20, 25, 4, 13, 3, 21, 48, 30, 41, 35, 16, 29, 7, 28, 6, 45, 46, 8, 15, 47, 40, 12, 22, 17, 44, 19, 0, 36, 39, 1, 11, 2, 33, 18, 32, 27, 24, 14, 34, 5, 43]"
2249355970,22398.74,0.01,"[26, 5, 3, 19, 34, 20, 49, 35, 0, 14, 28, 18, 45, 27, 6, 31, 11, 40, 22, 30, 36, 38, 15, 39, 17, 33, 37, 43, 29, 12, 9, 8, 13, 42, 48, 44, 25, 46, 21, 4, 1, 16, 7, 10, 47, 32, 2, 41, 23, 24]",21683.83,25.51,"[15, 17, 37, 29, 5, 41, 3, 27, 47, 12, 18, 31, 4, 48, 2, 40, 14, 21, 9, 34, 19, 33, 28, 46, 25, 0, 35, 23, 43, 10, 6, 30, 1, 16, 36, 7, 38, 49, 39, 32, 22, 13, 42, 8, 26, 44, 11, 45, 20, 24]"
898528268,21127.06,0.01,"[29, 1, 41, 18, 6, 19, 42, 25, 9, 49, 38, 7, 15, 44, 12, 26, 11, 33, 22, 35, 0, 2, 28, 39, 37, 5, 27, 34, 20, 14, 17, 30, 40, 47, 36, 21, 16, 45, 3, 23, 32, 46, 24, 4, 13, 48, 43, 8, 31, 10]",20246.51,24.77,"[47, 13, 10, 15, 27, 26, 46, 4, 18, 40, 6, 5, 20, 42, 28, 17, 44, 22, 3, 38, 34, 8, 43, 36, 39, 49, 1, 0, 41, 16, 19, 33, 12, 21, 37, 30, 2, 31, 29, 35, 32, 14, 45, 7, 48, 25, 9, 24, 23, 11]"
3566242315,20653.41,0.01,"[34, 16, 7, 23, 18, 27, 36, 37, 45, 8, 26, 48, 5, 35, 40, 22, 42, 25, 14, 49, 12, 21, 4, 29, 44, 24, 41, 13, 9, 30, 38, 11, 17, 32, 10, 47, 1, 19, 43, 31, 20, 2, 46, 0, 28, 3, 6, 15, 33, 39]",19215.45,24.6,"[12, 41, 24, 11, 49, 23, 18, 8, 10, 3, 44, 6, 45, 22, 30, 16, 28, 33, 13, 2, 4, 40, 25, 1, 38, 9, 32, 43, 15, 47, 26, 20, 27, 46, 5, 34, 48, 36, 7, 35, 14, 42, 17, 21, 39, 19, 0, 29, 31, 37]"
4027676972,21230.85,0.01,"[16, 21, 1, 8, 3, 22, 26, 46, 39, 25, 37, 18, 24, 17, 43, 33, 44, 28, 42, 11, 7, 14, 15, 5, 36, 47, 9, 41, 40, 31, 0, 20, 23, 29, 27, 48, 32, 13, 38, 19, 45, 10, 35, 30, 2, 4, 34, 12, 49, 6]",20394.34,24.59,"[5, 41, 35, 10, 15, 3, 12, 37, 47, 21, 39, 36, 30, 45, 19, 40, 38, 18, 8, 27, 0, 2, 33, 9, 7, 11, 24, 46, 23, 17, 26, 13, 6, 25, 16, 42, 28, 43, 49, 34, 22, 20, 48, 4, 29, 44, 31, 14, 1, 32]"
3728618462,20721.91,0.01,"[6, 23, 5, 27, 41, 3, 24, 15, 35, 13, 45, 1, 49, 17, 43, 18, 21, 31, 32, 10, 42, 4, 26, 14, 12, 47, 37, 9, 8, 36, 16, 20, 44, 22, 30, 48, 7, 2, 28, 39, 29, 19, 33, 11, 34, 25, 46, 40, 38, 0]",20185.77,25.2,"[31, 8, 45, 32, 6, 15, 16, 43, 33, 24, 30, 38, 40, 22, 18, 39, 26, 11, 7, 29, 12, 21, 47, 1, 19, 48, 27, 10, 20, 34, 44, 28, 42, 4, 46, 2, 14, 25, 35, 9, 49, 41, 5, 23, 37, 36, 0, 17, 13, 3]"
